Faculty,Course_Id,Course Name,CRN,Lec Lab Tut,Section,Tme_start,Time_end,MTWTF,Course Description,Seats Available,Enrollment,Waitlist Seats,Waitlist Enrolled,Term,Cedit Hours,Location,Instructor ,Tuition,Campus
ACAD,0020,Skills for Academic Success,18188,Lec,N/A,935,1025,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACAD,1050,Foundations for Learning,18112,Lec,N/A,1005,1125,11100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,3703,Actuarial Models I,20032,Lec,N/A,1035,1125,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,3720,Life Contingencies I,20033,Lec,N/A,1135,1225,11101,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,4703,Actuarial Models II,14095,Lec,N/A,1035,1125,01011,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,4720,Life Contingencies II,14096,Lec,N/A,1135,1225,11111,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,4950,Honours Research Project,18296,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
ACSC,4950,Honours Research Project,23923,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,1000,Agriculture Ecosystems,14098,Lab,B01,1235,1425,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,1000,Agriculture Ecosystems,14099,Lab,B02,1435,1625,00001,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,1000,Agriculture Ecosystems,14097,Lec,N/A,1005,1125,01010,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,2000,Transition to Organic Agr,14100,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,2000,Transition to Organic Agr,14101,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,3001,Issues in Agric Health&Safety,20034,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,3001,Issues in Agric Health&Safety,20035,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,4000,Contemporary Issues in Agri,14102,Lec,N/A,1735,2025,00100,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,4001,"Agriculture, Food & Well Being",20036,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,4001,"Agriculture, Food & Well Being",20037,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5230,Dir St in Env. Sciences,18441,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5230,Dir St in Env. Sciences,24024,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
AGRI,5250,Soil Microbiology,24047,Lec,N/A,N/A,N/A,00000,Placeholder,100,50,10,5,Winter,3,LSC 230,Dr. Who,T410,Halifax
